trainno,trainKnd,upbdnbSe,wkndSe,lineNm,brlnNm,stnCd,stnNo,stnNm,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,trainDptreTm,trainArvlTm,etrnYn,lnkgTrainno,tmprTmtblYn,vldBgngDt,vldEndDt,crtrYmd
2030,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:39:50,07:39:22,N,,N,2025-05-01T05:00:00,,20250619
2030,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:43:40,07:43:12,N,,N,2025-05-01T05:00:00,,20250619
2030,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,07:46:42,N,,N,2025-05-01T05:00:00,,20250619
2034,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:29:00,,N,,N,2025-05-01T05:00:00,,20250619
2034,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:35:20,07:34:52,N,,N,2025-05-01T05:00:00,,20250619
2034,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:39:57,07:39:29,N,,N,2025-05-01T05:00:00,,20250619
2034,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:42:10,07:41:42,N,,N,2025-05-01T05:00:00,,20250619
2034,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:45:03,07:44:35,N,,N,2025-05-01T05:00:00,,20250619
2034,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:49:09,07:48:41,N,,N,2025-05-01T05:00:00,,20250619
2034,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:51:50,07:51:22,N,,N,2025-05-01T05:00:00,,20250619
2034,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:55:40,07:55:12,N,,N,2025-05-01T05:00:00,,20250619
2034,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,07:58:42,N,,N,2025-05-01T05:00:00,,20250619
2036,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:35:00,,N,,N,2025-05-01T05:00:00,,20250619
2036,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:41:20,07:40:52,N,,N,2025-05-01T05:00:00,,20250619
2036,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:45:57,07:45:29,N,,N,2025-05-01T05:00:00,,20250619
2036,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:48:10,07:47:42,N,,N,2025-05-01T05:00:00,,20250619
2036,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:51:03,07:50:35,N,,N,2025-05-01T05:00:00,,20250619
2036,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:55:09,07:54:41,N,,N,2025-05-01T05:00:00,,20250619
2036,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:57:50,07:57:22,N,,N,2025-05-01T05:00:00,,20250619
2036,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:01:40,08:01:12,N,,N,2025-05-01T05:00:00,,20250619
